time, NIS_laser_, threshold_laser, NIS_radar_, threshold_radar
1477010455900000,0.558541,5.991,0.,7.815
1477010455950000,0.,5.991,3.75972,7.815
1477010456000000,0.02877,5.991,0.,7.815
1477010456050000,0.,5.991,0.56751,7.815
1477010456100000,1.57598,5.991,0.,7.815
1477010456150000,0.,5.991,0.353462,7.815
1477010456200000,0.828318,5.991,0.,7.815
1477010456250000,0.,5.991,3.42849,7.815
1477010456300000,1.9539,5.991,0.,7.815
1477010456350000,0.,5.991,0.32021,7.815
1477010456400000,4.80421,5.991,0.,7.815
1477010456450000,0.,5.991,1.15027,7.815
1477010456500000,4.08055,5.991,0.,7.815
1477010456550000,0.,5.991,5.48259,7.815
1477010456600000,1.57169,5.991,0.,7.815
1477010456650000,0.,5.991,5.89137,7.815
1477010456700000,1.65839,5.991,0.,7.815
1477010456750000,0.,5.991,4.00398,7.815
1477010456800000,2.87904,5.991,0.,7.815
1477010456850000,0.,5.991,5.04389,7.815
1477010456900000,1.43178,5.991,0.,7.815
1477010456950000,0.,5.991,2.88716,7.815
1477010457000000,0.98759,5.991,0.,7.815
1477010457050000,0.,5.991,3.20666,7.815
1477010457100000,0.791715,5.991,0.,7.815
1477010457150000,0.,5.991,2.87803,7.815
1477010457200000,0.230613,5.991,0.,7.815
1477010457250000,0.,5.991,0.818516,7.815
1477010457300000,3.28793,5.991,0.,7.815
1477010457350000,0.,5.991,0.361677,7.815
1477010457400000,1.3595,5.991,0.,7.815
1477010457450000,0.,5.991,4.51148,7.815
1477010457500000,4.54318,5.991,0.,7.815
1477010457550000,0.,5.991,0.449521,7.815
1477010457600000,0.510238,5.991,0.,7.815
1477010457650000,0.,5.991,0.407996,7.815
1477010457700000,1.27348,5.991,0.,7.815
1477010457750000,0.,5.991,2.33378,7.815
1477010457800000,0.242313,5.991,0.,7.815
1477010457850000,0.,5.991,3.99347,7.815
1477010457900000,1.85443,5.991,0.,7.815
1477010457950000,0.,5.991,0.332976,7.815
1477010458000000,0.323126,5.991,0.,7.815
1477010458050000,0.,5.991,6.72887,7.815
1477010458100000,6.55602,5.991,0.,7.815
1477010458150000,0.,5.991,0.868524,7.815
1477010458200000,0.225718,5.991,0.,7.815
1477010458250000,0.,5.991,6.97703,7.815
1477010458300000,0.589967,5.991,0.,7.815
1477010458350000,0.,5.991,1.09687,7.815
1477010458400000,3.02652,5.991,0.,7.815
1477010458450000,0.,5.991,1.85159,7.815
1477010458500000,2.98829,5.991,0.,7.815
1477010458550000,0.,5.991,1.33291,7.815
1477010458600000,3.83538,5.991,0.,7.815
1477010458650000,0.,5.991,1.92235,7.815
1477010458700000,3.54642,5.991,0.,7.815
1477010458750000,0.,5.991,2.26414,7.815
1477010458800000,0.663144,5.991,0.,7.815
1477010458850000,0.,5.991,2.31383,7.815
1477010458900000,2.07095,5.991,0.,7.815
1477010458950000,0.,5.991,1.79792,7.815
1477010459000000,3.03593,5.991,0.,7.815
1477010459050000,0.,5.991,2.51443,7.815
1477010459100000,1.80214,5.991,0.,7.815
1477010459150000,0.,5.991,3.28073,7.815
1477010459200000,1.68906,5.991,0.,7.815
1477010459250000,0.,5.991,2.91841,7.815
1477010459300000,0.919514,5.991,0.,7.815
1477010459350000,0.,5.991,0.314939,7.815
1477010459400000,1.51771,5.991,0.,7.815
1477010459450000,0.,5.991,4.4991,7.815
1477010459500000,5.24708,5.991,0.,7.815
1477010459550000,0.,5.991,2.16807,7.815
1477010459600000,2.01975,5.991,0.,7.815
1477010459650000,0.,5.991,2.41612,7.815
1477010459700000,0.484163,5.991,0.,7.815
1477010459750000,0.,5.991,5.1086,7.815
1477010459800000,1.27975,5.991,0.,7.815
1477010459850000,0.,5.991,8.13218,7.815
1477010459900000,0.50186,5.991,0.,7.815
1477010459950000,0.,5.991,1.68367,7.815
1477010460000000,0.166098,5.991,0.,7.815
1477010460050000,0.,5.991,0.518271,7.815
1477010460100000,2.62034,5.991,0.,7.815
1477010460150000,0.,5.991,1.75923,7.815
1477010460200000,0.267696,5.991,0.,7.815
1477010460250000,0.,5.991,3.98611,7.815
1477010460300000,2.8985,5.991,0.,7.815
1477010460350000,0.,5.991,0.933258,7.815
1477010460400000,0.997065,5.991,0.,7.815
1477010460450000,0.,5.991,4.89084,7.815
1477010460500000,16.0279,5.991,0.,7.815
1477010460550000,0.,5.991,1.53071,7.815
1477010460600000,0.740812,5.991,0.,7.815
1477010460650000,0.,5.991,2.31516,7.815
1477010460700000,1.70991,5.991,0.,7.815
1477010460750000,0.,5.991,1.78362,7.815
1477010460800000,2.59822,5.991,0.,7.815
1477010460850000,0.,5.991,5.96348,7.815
1477010460900000,0.763438,5.991,0.,7.815
1477010460950000,0.,5.991,2.22616,7.815
1477010461000000,1.12981,5.991,0.,7.815
1477010461050000,0.,5.991,0.943879,7.815
1477010461100000,4.56375,5.991,0.,7.815
1477010461150000,0.,5.991,2.79685,7.815
1477010461200000,2.03794,5.991,0.,7.815
1477010461250000,0.,5.991,2.33155,7.815
